Country,Military,Population
Taiwan,7982.24852071006,22333125
Tajikistan,12.468225563719605,6408810
Tanzania,150.72819632775452,35414469
Thailand,1724.7996371975992,63649892
Timor-Leste,,893001
Togo,,5145426
Trinidad and Tobago,13.945440719243024,1338567
Tunisia,335.6479068054021,9995123
Turkiye,7216.051044802912,65072018
Turkmenistan,,4635094
Uganda,136.15734253784902,24763325
Ukraine,741.712830593281,48662400
United Arab Emirates,5797.957794417972,3454198
United Kingdom,39512.579943649725,59119673
United States,331805.6105721368,284968955
Uruguay,523.00831137239,3300939
Uzbekistan,59.76061046511628,24964450
Venezuela,1911.4001365285808,24880203
Viet Nam,,79817777
Yemen,540.1014987668375,19143457
Zambia,,10191964
Zimbabwe,286.7,11910978
